city,start_date,year,month,year-month,#trips,duration_minutes
Chicago,2017-01-01,2017,1,2017-01,1727,25880.733333333334
Chicago,2017-01-02,2017,1,2017-01,1960,20142.733333333334
Chicago,2017-01-03,2017,1,2017-01,4537,47873.26666666667
Chicago,2017-01-04,2017,1,2017-01,3269,33301.583333333336
Chicago,2017-01-05,2017,1,2017-01,2917,26602.916666666668
Chicago,2017-01-06,2017,1,2017-01,2516,22929.633333333335
Chicago,2017-01-07,2017,1,2017-01,1330,15111.516666666666
Chicago,2017-01-08,2017,1,2017-01,1193,13331.916666666666
Chicago,2017-01-09,2017,1,2017-01,3816,38191.53333333333
Chicago,2017-01-10,2017,1,2017-01,3310,35199.7
Chicago,2017-01-11,2017,1,2017-01,3821,36915.26666666667
Chicago,2017-01-12,2017,1,2017-01,3071,32111.85
Chicago,2017-01-13,2017,1,2017-01,3676,37174.88333333333
Chicago,2017-01-14,2017,1,2017-01,2160,24652.466666666667
Chicago,2017-01-15,2017,1,2017-01,2195,26417.016666666666
Chicago,2017-01-16,2017,1,2017-01,1406,12300.683333333332
Chicago,2017-01-17,2017,1,2017-01,4704,49182.46666666667
Chicago,2017-01-18,2017,1,2017-01,5337,58944.933333333334
Chicago,2017-01-19,2017,1,2017-01,4424,46494.13333333333
Chicago,2017-01-20,2017,1,2017-01,4573,49945.03333333333
Chicago,2017-01-21,2017,1,2017-01,7697,150448.63333333333
Chicago,2017-01-22,2017,1,2017-01,3167,42733.46666666667
Chicago,2017-01-23,2017,1,2017-01,5788,64097.36666666667
Chicago,2017-01-24,2017,1,2017-01,5762,60225.566666666666
Chicago,2017-01-25,2017,1,2017-01,5080,53256.25
Chicago,2017-01-26,2017,1,2017-01,4731,48534.066666666666
Chicago,2017-01-27,2017,1,2017-01,4376,45027.46666666667
Chicago,2017-01-28,2017,1,2017-01,2214,22814.183333333334
Chicago,2017-01-29,2017,1,2017-01,1623,16887.233333333334
Chicago,2017-01-30,2017,1,2017-01,4486,47330.38333333333
Chicago,2017-01-31,2017,1,2017-01,5076,50918.183333333334
Chicago,2017-02-01,2017,2,2017-02,5361,53220.05
Chicago,2017-02-02,2017,2,2017-02,4251,42034.666666666664
