start_date,city,#trips
2019-01-01,Chicago,1312
2019-01-01,NYC,21962
2019-01-01,San Francisco,2437
2019-01-02,Chicago,4170
2019-01-02,NYC,37797
2019-01-02,San Francisco,5820
2019-01-03,Chicago,5618
2019-01-03,NYC,41676
2019-01-03,San Francisco,6351
2019-01-04,Chicago,6793
2019-01-04,NYC,43922
2019-01-04,San Francisco,6447
2019-01-05,Chicago,6179
2019-01-05,NYC,17432
2019-01-05,San Francisco,2119
2019-01-06,Chicago,3677
2019-01-06,NYC,31451
2019-01-06,San Francisco,678
2019-01-07,Chicago,4731
2019-01-07,NYC,36486
2019-01-07,San Francisco,6901
2019-01-08,Chicago,6951
2019-01-08,NYC,41163
2019-01-08,San Francisco,7186
2019-01-09,Chicago,5100
2019-01-09,NYC,44338
2019-01-09,San Francisco,7072
2019-01-10,Chicago,5245
2019-01-10,NYC,38971
2019-01-10,San Francisco,7694
2019-01-11,Chicago,5750
2019-01-11,NYC,32805
2019-01-11,San Francisco,5811
2019-01-12,Chicago,1394
2019-01-12,NYC,25131
2019-01-12,San Francisco,4383
2019-01-13,Chicago,1759
2019-01-13,NYC,22752
2019-01-13,San Francisco,3849
2019-01-14,Chicago,5074
2019-01-14,NYC,34970
2019-01-14,San Francisco,7039
2019-01-15,Chicago,5246
2019-01-15,NYC,39068
2019-01-15,San Francisco,3451
2019-01-16,Chicago,5725
2019-01-16,NYC,40349
2019-01-16,San Francisco,4502
2019-01-17,Chicago,5682
2019-01-17,NYC,38956
2019-01-17,San Francisco,5783
2019-01-18,Chicago,4993
2019-01-18,NYC,34227
2019-01-18,San Francisco,7586
2019-01-19,Chicago,528
2019-01-19,NYC,23748
2019-01-19,San Francisco,5012
2019-01-20,Chicago,757
2019-01-20,NYC,14249
2019-01-20,San Francisco,2546
2019-01-21,Chicago,1646
2019-01-21,NYC,10291
2019-01-21,San Francisco,5285
2019-01-22,Chicago,2883
2019-01-22,NYC,28562
2019-01-22,San Francisco,8725
2019-01-23,Chicago,2995
2019-01-23,NYC,41483
2019-01-23,San Francisco,9066
2019-01-24,Chicago,3210
2019-01-24,NYC,20081
2019-01-24,San Francisco,9280
2019-01-25,Chicago,1726
2019-01-25,NYC,38813
2019-01-25,San Francisco,8901
2019-01-26,Chicago,826
2019-01-26,NYC,26298
2019-01-26,San Francisco,5508
2019-01-27,Chicago,708
2019-01-27,NYC,30021
2019-01-27,San Francisco,4984
2019-01-28,Chicago,1034
2019-01-28,NYC,35584
2019-01-28,San Francisco,9417
2019-01-29,Chicago,1041
2019-01-29,NYC,30928
2019-01-29,San Francisco,9539
2019-01-30,Chicago,165
2019-01-30,NYC,25142
2019-01-30,San Francisco,9370
2019-01-31,Chicago,354
2019-01-31,NYC,18631
2019-01-31,San Francisco,9340
2019-02-01,Chicago,1790
2019-02-01,NYC,24982
2019-02-01,San Francisco,6133
2019-02-02,Chicago,1905
2019-02-02,NYC,22002
2019-02-02,San Francisco,3231
2019-02-03,Chicago,2582
2019-02-03,NYC,31934
2019-02-03,San Francisco,2841
2019-02-04,Chicago,5594
2019-02-04,NYC,46376
2019-02-04,San Francisco,5491
2019-02-05,Chicago,5248
2019-02-05,NYC,54161
2019-02-05,San Francisco,8486
2019-02-06,Chicago,5484
2019-02-06,NYC,39215
2019-02-06,San Francisco,9057
2019-02-07,Chicago,3956
2019-02-07,NYC,43177
2019-02-07,San Francisco,9234
2019-02-08,Chicago,2882
2019-02-08,NYC,36454
2019-02-08,San Francisco,6356
2019-02-09,Chicago,1948
2019-02-09,NYC,23765
2019-02-09,San Francisco,2730
2019-02-10,Chicago,1417
2019-02-10,NYC,24131
2019-02-10,San Francisco,3960
2019-02-11,Chicago,4071
2019-02-11,NYC,38636
2019-02-11,San Francisco,8681
2019-02-12,Chicago,2368
2019-02-12,NYC,15854
2019-02-12,San Francisco,8473
2019-02-13,Chicago,3681
2019-02-13,NYC,34941
2019-02-13,San Francisco,3202
2019-02-14,Chicago,5710
2019-02-14,NYC,41650
2019-02-14,San Francisco,6598
2019-02-15,Chicago,3748
2019-02-15,NYC,46863
2019-02-15,San Francisco,7288
2019-02-16,Chicago,2240
2019-02-16,NYC,31034
2019-02-16,San Francisco,3993
2019-02-17,Chicago,1002
2019-02-17,NYC,24037
2019-02-17,San Francisco,4225
2019-02-18,Chicago,2227
2019-02-18,NYC,25827
2019-02-18,San Francisco,5647
2019-02-19,Chicago,4539
2019-02-19,NYC,34676
2019-02-19,San Francisco,9467
2019-02-20,Chicago,3393
2019-02-20,NYC,20426
2019-02-20,San Francisco,9667
2019-02-21,Chicago,5031
2019-02-21,NYC,39499
2019-02-21,San Francisco,9536
2019-02-22,Chicago,5253
2019-02-22,NYC,41794
2019-02-22,San Francisco,9204
2019-02-23,Chicago,1314
2019-02-23,NYC,31608
2019-02-23,San Francisco,5451
2019-02-24,Chicago,1386
2019-02-24,NYC,24272
2019-02-24,San Francisco,4497
2019-02-25,Chicago,3878
2019-02-25,NYC,34216
2019-02-25,San Francisco,7033
2019-02-26,Chicago,4183
2019-02-26,NYC,37516
2019-02-26,San Francisco,5387
2019-02-27,Chicago,4790
2019-02-27,NYC,36475
2019-02-27,San Francisco,7715
2019-02-28,Chicago,4566
